# Generated Letter Puzzle Variations - FULLY SCRAMBLED
# Format: FEATURED_LETTER|ANSWER|AVAILABLE_LETTERS

# Puzzle 1: 12 words with 'S'
# Examples: DUSTY, LUSTY, SEEDY, SHEET, SLEET
N|ANNEX|U,X,A,B,A,N,M,E,L,N,A,P

# Puzzle 169: 43 words with 'R'
# Examples: BERRY, BRIDE, BRIEF, BRINE, BRINY
R|BERRY|E,S,T,R,R,L,N,F,I,B,Y,D

# Puzzle 170: 13 words with 'H'
# Examples: CATCH, CHART, COACH, COUCH, HATCH
H|COUCH|A,O,C,C,R,C,H,W,T,U,O,H

# Puzzle 171: 8 words with 'L'
# Examples: DWELL, ELEGY, LEDGE, NEWLY, SHELL
L|DWELL|S,L,W,D,L,E,E,Y,H,L,N,G

# Puzzle 172: 13 words with 'E'
# Examples: DEMON, DRONE, DROVE, ENVOY, FOYER
E|DROVE|Y,E,M,R,N,S,D,F,O,D,V,D

# Puzzle 173: 17 words with 'S'
# Examples: BLUSH, BUSED, GUISE, PLUSH, PULSE
S|SLEEK|B,L,H,U,K,E,S,G,P,I,D,E

# Puzzle 174: 36 words with 'R'
# Examples: DINER, DRINK, DROIT, DRONE, IDLER
R|SKIRT|N,M,L,I,D,T,E,K,O,T,S,R

# Puzzle 175: 10 words with 'O'
# Examples: BELOW, BOULE, BOWEL, BROIL, ELBOW
O|LOWER|W,W,I,E,L,R,I,G,O,B,L,U

# Puzzle 176: 29 words with 'N'
# Examples: CRONE, CROWN, DRONE, DROWN, ENDOW
N|NOTCH|W,H,E,D,R,T,N,S,G,O,H,C

# Puzzle 177: 55 words with 'I'
# Examples: CHIEF, CLING, EIGHT, ELFIN, ETHIC
I|WRING|G,W,I,L,N,H,R,F,E,W,T,C

# Puzzle 178: 2 words with 'S'
# Examples: FLUSH, SHUCK
S|SHUCK|H,C,H,W,G,M,F,S,K,U,F,L

# Puzzle 179: 17 words with 'U'
# Examples: ABOUT, ALBUM, BLUNT, BOULE, BUTTE
U|HUMAN|E,N,M,L,B,O,U,T,H,T,L,A

# Puzzle 180: 2 words with 'C'
# Examples: CRAFT, TRACT
C|CRAFT|G,M,F,L,T,R,T,L,A,M,C,T

# Puzzle 181: 10 words with 'O'
# Examples: FOIST, IONIC, LOFTY, NOISY, NYLON
O|SCION|F,I,N,C,I,N,Y,N,O,L,T,S

# Puzzle 182: 29 words with 'O'
# Examples: ABHOR, ABODE, ADOBE, ADORE, ADORN
O|OPINE|H,N,E,R,H,I,O,P,A,W,B,D

# Puzzle 183: 30 words with 'L'
# Examples: AGLOW, ALLOW, CAROL, CELLO, CLEAR
L|CELLO|L,L,A,G,C,R,E,D,O,G,W,H

# Puzzle 184: 22 words with 'I'
# Examples: AFIRE, ATTIC, BEFIT, BRIEF, EVICT
I|WAIVE|W,F,E,T,I,O,A,T,V,B,R,C

# Puzzle 185: 4 words with 'D'
# Examples: ACRID, CHARD, DWARF, SHARD
D|DWARF|W,C,S,W,R,I,F,D,H,G,R,A

# Puzzle 186: 48 words with 'R'
# Examples: BERTH, BIRCH, BIRTH, BLUER, BLURT
R|CURSE|B,H,U,S,R,S,L,P,C,E,I,T

# Puzzle 187: 13 words with 'U'
# Examples: ERUPT, GRUEL, GUIDE, GUILD, GUILE
U|PURGE|P,W,L,I,U,D,E,T,Y,R,H,G

# Puzzle 188: 27 words with 'O'
# Examples: ARMOR, CAMEO, CARGO, CAROL, CLOVE
O|VALOR|O,C,E,A,M,U,L,R,G,C,V,R

# Puzzle 189: 2 words with 'F'
# Examples: FIFTY, JIFFY
F|JIFFY|Y,F,F,G,C,T,J,I,T,Y,Y,P

# Puzzle 190: 35 words with 'E'
# Examples: ALERT, ALTER, BALER, BATHE, BELIE
E|ALERT|U,A,R,U,E,I,B,E,L,T,E,H

# Puzzle 191: 6 words with 'I'
# Examples: ALIEN, ANIME, ELFIN, EMAIL, FINAL
I|ALIEN|W,I,I,L,A,O,F,E,M,L,N,U

# Puzzle 192: 18 words with 'L'
# Examples: ALLOY, AMPLY, LOAMY, LORRY, LOYAL
L|ALLOY|N,A,L,S,L,L,R,O,P,Y,M,R

# Puzzle 193: 4 words with 'N'
# Examples: CORNY, CRONY, MOURN, SCORN
N|CRONY|O,F,U,M,N,C,Y,L,L,U,S,R

# Puzzle 194: 29 words with 'R'
# Examples: DRONE, DRYER, ENTRY, ERROR, GONER
R|ORDER|R,R,O,T,G,R,Y,S,N,H,E,D

# Puzzle 195: 1 words with 'I'
# Examples: CUBIC
I|CUBIC|C,S,B,S,Y,C,U,W,I,B,G,C

# Puzzle 196: 5 words with 'D'
# Examples: BADLY, CADDY, DADDY, ODDLY, PADDY
D|DADDY|Y,D,O,Y,C,L,P,A,F,B,D,D

# Puzzle 197: 18 words with 'T'
# Examples: AORTA, APART, AWAIT, PARTY, PATIO
T|WRATH|A,O,P,Y,W,W,T,T,A,H,I,R

# Puzzle 198: 42 words with 'E'
# Examples: CHORE, CHOSE, CLONE, CLOSE, CRONE
E|HERON|G,O,L,U,S,E,R,C,N,H,M,O

# Puzzle 199: 18 words with 'E'
# Examples: EMPTY, ETHER, FORTE, FOYER, HEFTY
E|METER|F,H,T,E,P,O,P,Y,M,F,E,R

# Puzzle 200: 33 words with 'I'
# Examples: BEGIN, BEING, BINGE, BRINE, BRING
I|REIGN|B,E,N,R,P,Y,R,G,M,I,T,W

# Puzzle 201: 9 words with 'D'
# Examples: ALOUD, CLOUD, CLUED, COULD, DECAL
D|COULD|O,A,U,C,S,A,U,L,O,F,D,E

# Puzzle 202: 2 words with 'S'
# Examples: SAUCY, SAUNA
S|SAUNA|Y,A,A,N,U,U,Y,S,A,C,U,F

# Puzzle 203: 19 words with 'H'
# Examples: FLASH, FORTH, FROTH, HOARD, LOATH
H|FROTH|M,T,T,D,F,O,W,R,H,L,S,A

# Puzzle 204: 9 words with 'U'
# Examples: BOUND, CROUP, CURIO, FOUND, INCUR
U|INCUR|U,R,B,P,N,I,U,O,F,C,D,U

# Puzzle 205: 37 words with 'R'
# Examples: BERET, BERRY, BERTH, BROTH, CHEER
R|CORER|Y,F,E,T,C,H,M,B,O,E,R,R

# Puzzle 206: 17 words with 'B'
# Examples: ABASE, ABUSE, ALBUM, AMBLE, BANAL
B|BASIC|S,C,N,I,A,M,L,A,B,E,E,U

# Puzzle 207: 7 words with 'D'
# Examples: BOUND, DOWNY, HOUND, HOWDY, POUND
D|POUND|N,B,H,U,D,I,Y,U,W,P,P,O

# Puzzle 208: 20 words with 'U'
# Examples: ACUTE, CAPUT, CRUEL, CUTIE, ERUPT
U|PUPAL|T,L,A,P,P,R,U,T,E,C,I,R

# Puzzle 209: 12 words with 'U'
# Examples: BULLY, BURLY, CLUNG, CURLY, FLUNG
U|CURLY|N,C,L,U,F,B,Y,Y,L,R,S,G

# Puzzle 210: 5 words with 'I'
# Examples: BISON, DISCO, IONIC, SCION, SONIC
I|BISON|P,I,S,I,W,N,B,O,N,B,C,D

# Puzzle 211: 11 words with 'E'
# Examples: AGILE, AISLE, BAGEL, BILGE, CABLE
E|CABLE|L,E,G,B,F,I,I,S,C,I,F,A

# Puzzle 212: 3 words with 'U'
# Examples: GUEST, SEGUE, TULLE
U|SEGUE|G,C,T,L,C,L,U,E,E,S,C,T

# Puzzle 213: 26 words with 'I'
# Examples: AFIRE, AISLE, ARISE, BASIL, BIBLE
I|BRIBE|B,A,R,F,O,P,B,P,L,S,E,I

# Puzzle 214: 34 words with 'E'
# Examples: EARLY, LAPSE, LAYER, LEARN, NEWLY
E|PARER|S,L,R,W,Y,R,E,A,U,Y,N,P

# Puzzle 215: 8 words with 'R'
# Examples: CAIRN, CIGAR, CRAWL, FLAIR, FRAIL
R|FRAIL|F,F,I,A,G,M,W,C,N,M,R,L

# Puzzle 216: 55 words with 'T'
# Examples: AGENT, ANGST, ANTIC, ASCOT, ATONE
T|STAGE|A,F,F,E,G,N,T,I,O,H,S,C

# Puzzle 217: 3 words with 'L'
# Examples: FLUME, SMELL, SWELL
L|SMELL|L,W,M,S,S,F,U,L,U,M,E,C

# Puzzle 218: 7 words with 'Y'
# Examples: AMITY, CRYPT, DAIRY, DIARY, DIRTY
Y|TARDY|M,P,A,I,A,T,D,P,Y,Y,C,R

# Puzzle 219: 6 words with 'Y'
# Examples: APPLY, APTLY, AUNTY, CANDY, FANCY
Y|APPLY|U,C,Y,L,N,A,P,T,F,Y,D,P

# Puzzle 220: 8 words with 'E'
# Examples: ELITE, GUILE, LIEGE, TITLE, TOWEL
E|ELITE|O,I,L,O,U,E,T,W,T,E,G,L

# Puzzle 221: 22 words with 'R'
# Examples: DIRTY, DONOR, DOWRY, DROIT, DROOP
R|IRONY|R,D,Y,N,R,O,T,O,I,G,P,W

# Puzzle 222: 15 words with 'C'
# Examples: ABACK, BLACK, CABAL, CABIN, CANAL
C|FLACK|A,H,K,L,B,F,N,C,I,P,A,A

# Puzzle 223: 4 words with 'O'
# Examples: CLOUT, FLOUT, FOGGY, LOFTY
O|FOGGY|F,U,C,L,O,G,U,G,W,Y,T,B

# Puzzle 224: 7 words with 'S'
# Examples: BUSED, DUSTY, FETUS, SETUP, STUDY
S|DUSTY|D,P,F,S,Y,B,E,U,Y,D,T,F

# Puzzle 225: 8 words with 'E'
# Examples: CRUEL, CYCLE, LEMUR, MERCY, MERRY
E|RULER|R,R,E,U,C,Y,C,R,L,M,C,L

# Puzzle 226: 8 words with 'L'
# Examples: CHILI, CLIFF, FLUSH, ICILY, LOCUS
L|LUNCH|L,F,N,H,C,O,U,F,S,Y,I,I

# Puzzle 227: 8 words with 'A'
# Examples: AMEND, ASHEN, ENEMA, GNASH, MANGE
A|ASHEN|E,S,M,D,H,E,A,N,M,N,F,G

# Puzzle 228: 10 words with 'E'
# Examples: ADEPT, AMUSE, PASTE, PAUSE, SAUTE
E|PAUSE|A,T,D,U,S,P,A,D,E,D,P,M

# Puzzle 229: 29 words with 'L'
# Examples: ABLED, ANKLE, BELCH, BLACK, BLADE
L|KNELT|E,D,T,N,H,K,D,L,L,A,C,B

# Puzzle 230: 6 words with 'O'
# Examples: BOSOM, COMIC, DISCO, IDIOM, SCOOP
O|COMIC|O,D,C,M,I,I,C,S,B,P,O,F

# Puzzle 231: 10 words with 'G'
# Examples: DIGIT, GIRTH, GRIND, ICING, MIGHT
G|ICING|M,I,G,D,T,N,H,C,C,R,I,H

# Puzzle 232: 24 words with 'E'
# Examples: FEVER, FILER, FLIER, LEVER, LIVER
E|VERSE|S,L,F,O,E,O,V,R,I,M,S,E

# Puzzle 233: 8 words with 'W'
# Examples: AGLOW, AWFUL, SHAWL, SHOWY, WELSH
W|AGLOW|E,F,A,H,O,U,G,L,W,F,S,Y

# Puzzle 234: 33 words with 'L'
# Examples: ABLED, AISLE, ALBUM, ALIKE, AMBLE
L|ALIKE|U,L,S,I,K,M,D,S,E,B,Y,A

# Puzzle 235: 4 words with 'C'
# Examples: BUNCH, CONDO, COUGH, DUCHY
C|CONDO|Y,U,H,G,C,N,Y,G,O,D,O,B

# Puzzle 236: 17 words with 'O'
# Examples: DONOR, DROOL, FLOOD, FLOOR, FORGO
O|GLOOM|R,L,M,N,S,D,O,F,G,Y,O,Y

# Puzzle 237: 11 words with 'O'
# Examples: ANODE, ATONE, AUDIO, DONUT, ENDOW
O|SOUND|A,D,N,S,E,T,I,W,E,U,S,O

# Puzzle 238: 12 words with 'A'
# Examples: AGING, ALIGN, ALLOT, ALONG, ATOLL
A|ALONG|G,N,T,G,O,U,O,I,I,A,L,L

# Puzzle 239: 27 words with 'A'
# Examples: ACUTE, AFTER, CADET, CARAT, CATER
A|CADET|C,T,M,A,D,F,R,R,C,U,A,E

# Puzzle 240: 14 words with 'S'
# Examples: ANGST, ERASE, ESTER, RESET, SANER
S|SNARE|R,N,E,G,R,E,A,S,G,A,N,T

# Puzzle 241: 89 words with 'E'
# Examples: AGILE, AGREE, AISLE, ALERT, ALTER
E|SLEET|L,T,M,E,A,E,R,I,G,E,S,C

# Puzzle 242: 26 words with 'H'
# Examples: ABHOR, BEACH, BELCH, BENCH, CHAMP
H|BELCH|L,A,B,R,N,H,C,P,M,O,E,B

# Puzzle 243: 6 words with 'D'
# Examples: BUILD, DRYLY, GUILD, LUCID, LURID
D|LURID|G,I,R,D,C,P,U,P,B,L,Y,Y

# Puzzle 244: 17 words with 'N'
# Examples: AGING, APING, CANOE, COVEN, GIVEN
N|OVINE|P,V,G,E,I,N,G,I,U,C,O,A

# Puzzle 245: 4 words with 'V'
# Examples: CIVIL, LIVID, VIGIL, VIGOR
V|CIVIL|V,I,R,D,C,O,L,I,I,T,G,H

# Puzzle 246: 3 words with 'M'
# Examples: LIMIT, MUSTY, SLIMY
M|LIMIT|U,M,B,S,I,L,U,W,W,Y,I,T

# Puzzle 247: 32 words with 'E'
# Examples: BELOW, BLEED, BLESS, BOWEL, BREED
E|SHEER|B,E,W,R,H,E,S,L,O,R,D,S

# Puzzle 248: 3 words with 'H'
# Examples: GLYPH, HAPPY, HIPPY
H|GLYPH|L,Y,H,G,P,B,I,G,B,H,A,P

# Puzzle 249: 22 words with 'G'
# Examples: AGREE, ARGUE, EAGER, FORGE, GRAPE
G|SUGAR|R,F,E,A,U,R,P,O,E,I,G,S

# Puzzle 250: 16 words with 'D'
# Examples: DINER, DRIED, DRUID, NEEDY, NERDY
D|REEDY|N,R,W,I,E,D,D,W,U,E,E,Y

# Puzzle 251: 31 words with 'L'
# Examples: ALERT, ALTER, CAMEL, CLAIM, CLEAR
L|FERAL|I,F,L,R,T,L,R,R,C,A,M,E

# Puzzle 252: 10 words with 'N'
# Examples: CANDY, CONCH, CONDO, FANCY, FOUND
N|FANCY|N,A,P,F,D,C,Y,C,U,O,H,O

# Puzzle 253: 16 words with 'P'
# Examples: IMPEL, OPINE, PHONE, PLIED, POISE
P|POISE|O,S,H,P,I,L,N,E,M,O,M,D

# Puzzle 254: 5 words with 'Y'
# Examples: LOUSY, LUSTY, SALTY, STYLE, YEAST
Y|LOUSY|S,U,E,A,U,W,Y,L,I,T,O,I

# Puzzle 255: 1 words with 'F'
# Examples: SKIFF
F|SKIFF|E,I,S,F,D,M,P,I,A,F,K,F

# Puzzle 256: 7 words with 'X'
# Examples: EXACT, EXALT, EXCEL, EXERT, EXPEL
X|RELAX|E,A,R,C,L,D,E,H,S,P,T,X

# Puzzle 257: 1 words with 'R'
# Examples: BIRCH
R|BIRCH|H,C,G,C,D,W,F,B,I,R,B,Y

# Puzzle 258: 17 words with 'S'
# Examples: BASIL, BLAST, BOAST, FLASH, FOIST
S|BLAST|I,W,G,H,S,T,I,L,F,A,B,O

# Puzzle 259: 4 words with 'B'
# Examples: BEGET, BESET, GUMBO, OBESE
B|OBESE|U,G,S,E,E,M,B,C,S,T,W,O

# Puzzle 260: 14 words with 'R'
# Examples: BLURB, BLURT, BRIAR, BURST, MURAL
R|BURST|M,A,R,R,S,L,U,T,B,U,B,I

# Puzzle 261: 32 words with 'A'
# Examples: ABASE, ABATE, APART, ASSET, BASTE
A|HEART|S,E,S,P,T,E,B,A,H,S,R,A

# Puzzle 262: 21 words with 'S'
# Examples: BLUSH, BONUS, ETHOS, GHOST, GUEST
S|UNSET|H,E,L,G,N,N,T,U,S,O,B,H

# Puzzle 263: 17 words with 'R'
# Examples: BORNE, BROWN, CORNY, COWER, CRONE
R|BORNE|E,B,N,G,R,O,E,Y,N,W,G,C

# Puzzle 264: 7 words with 'L'
# Examples: ALGAE, ALLAY, ALLEY, GAYLY, GLAZE
L|GLAZE|A,Z,W,G,Y,U,A,L,E,L,C,Y

# Puzzle 265: 39 words with 'A'
# Examples: ADEPT, ADOPT, APTLY, DEALT, DELAY
A|GLOAT|P,Y,O,G,A,T,S,L,E,T,D,G

# Puzzle 266: 14 words with 'S'
# Examples: CREST, CRUST, CURSE, GUEST, NURSE
S|STRUT|N,T,T,S,R,R,D,C,E,R,U,G

# Puzzle 267: 10 words with 'R'
# Examples: BROOD, DROOL, DROOP, FJORD, FLOOR
R|FJORD|F,O,U,J,L,D,D,P,B,W,O,R

# Puzzle 268: 6 words with 'C'
# Examples: CHOSE, CLOSE, LEECH, SCOLD, SCOWL
C|WELCH|C,E,E,H,L,O,D,W,H,G,E,S

# Puzzle 269: 12 words with 'R'
# Examples: ERROR, GRIME, GRIMY, GROOM, MERRY
R|ERROR|O,G,O,W,O,R,R,R,I,M,E,Y

# Puzzle 270: 19 words with 'N'
# Examples: BEGIN, BEING, BINGE, BINGO, BONEY
N|ENVOY|D,B,N,O,P,G,E,P,I,N,V,Y

# Puzzle 271: 9 words with 'L'
# Examples: CAMEL, CLUED, DECAL, FECAL, FLAME
L|FECAL|A,C,H,M,U,D,F,L,M,F,D,E

# Puzzle 272: 11 words with 'T'
# Examples: ACTOR, AUDIT, COURT, DIGIT, DROIT
T|RATIO|C,T,D,G,I,W,I,O,O,U,A,R

# Puzzle 273: 21 words with 'O'
# Examples: BLOOD, BROOD, CLOUD, COLOR, COULD
O|FLOOD|C,L,U,L,R,Y,O,W,F,O,B,D

# Puzzle 274: 4 words with 'M'
# Examples: CHUMP, CLUMP, MULCH, THUMP
M|CHUMP|C,H,M,D,C,U,P,U,L,U,T,L

# Puzzle 275: 31 words with 'S'
# Examples: CHASM, CRASH, CRASS, CRUSH, CRUST
S|SPURT|W,C,S,P,N,M,R,U,H,S,A,T

# Puzzle 276: 53 words with 'E'
# Examples: AGREE, CADET, CAGEY, CASTE, CATER
E|RESET|C,T,S,E,Y,A,T,E,G,D,R,R

# Puzzle 277: 4 words with 'M'
# Examples: AMUSE, MASSE, SPASM, SWAMP
M|AMUSE|E,S,S,G,M,P,D,U,D,A,F,W

# Puzzle 278: 20 words with 'T'
# Examples: CREPT, CREST, CRUST, ERUPT, RECUT
T|STRUT|E,T,N,P,U,S,P,W,C,U,R,T

# Puzzle 279: 7 words with 'N'
# Examples: BLIND, BLINK, BRING, BRINK, DRINK
N|BLINK|K,D,F,B,L,L,I,N,B,G,N,R

# Puzzle 280: 23 words with 'R'
# Examples: ABHOR, ARBOR, AROSE, BRASH, BRUSH
R|SHEAR|B,H,E,S,F,R,R,O,R,U,A,H

# Puzzle 281: 7 words with 'E'
# Examples: FERRY, FOYER, PRONE, PRUNE, PURER
E|UPPER|N,F,O,O,E,U,R,Y,R,U,P,P

# Puzzle 282: 17 words with 'D'
# Examples: DAILY, DELAY, DOPEY, EDIFY, FIELD
D|FIELD|O,D,G,O,O,Y,E,A,F,L,P,I

# Puzzle 283: 28 words with 'R'
# Examples: AMBER, BEARD, BERRY, BREAD, DEBAR
R|PARRY|M,E,D,B,Y,R,P,Y,A,M,T,R

# Puzzle 284: 45 words with 'E'
# Examples: ERUPT, ESTER, ETHER, HYPER, LEERY
E|SWEEP|W,L,T,H,R,E,P,Y,S,Y,E,U

# Puzzle 285: 22 words with 'B'
# Examples: ABBEY, ABLED, ABODE, ADOBE, BADLY
B|CABBY|D,R,A,C,E,L,O,B,C,B,D,Y

# Puzzle 286: 6 words with 'R'
# Examples: CHIRP, CHOIR, CROWN, FROWN, PORCH
R|FROWN|R,W,F,I,F,H,C,O,P,N,W,P

# Puzzle 287: 35 words with 'R'
# Examples: ACORN, ACTOR, ARSON, CAROL, CORAL
R|TUTOR|L,M,U,U,R,A,T,S,N,O,C,T

# Puzzle 288: 4 words with 'L'
# Examples: ALONG, FLANK, KNOLL, KOALA
L|FLANK|K,A,N,G,L,G,F,G,L,L,O,A

# Puzzle 289: 9 words with 'C'
# Examples: CAGEY, CAUSE, CEASE, FANCY, FENCE
C|SUMAC|Y,M,G,S,E,F,C,Y,E,N,A,U

# Puzzle 290: 9 words with 'L'
# Examples: AFOUL, ALARM, FLORA, FLOUR, LOAMY
L|AFOUL|R,F,U,L,A,U,O,M,A,Y,H,U

# Puzzle 291: 14 words with 'N'
# Examples: CUMIN, ENNUI, MINCE, MINUS, SCENT
N|ENNUI|S,C,I,N,F,T,U,N,I,M,U,E

# Puzzle 292: 12 words with 'H'
# Examples: CHAOS, CHASE, CHEAP, CHOSE, COUGH
H|COUGH|P,O,G,S,G,G,C,E,A,H,U,Y

# Puzzle 293: 3 words with 'B'
# Examples: BONGO, BOOBY, BUNNY
B|BONGO|O,B,O,Y,O,W,G,C,B,N,U,N

# Puzzle 294: 19 words with 'S'
# Examples: ABUSE, ASSET, BASIS, BASTE, BEAST
S|SAUTE|B,E,S,I,U,A,E,P,S,S,T,T

# Puzzle 295: 7 words with 'O'
# Examples: ARROW, OPERA, POWER, ROWER, WHOOP
O|WHOOP|H,A,R,E,H,W,O,Y,R,O,O,P

# Puzzle 296: 17 words with 'O'
# Examples: ALOOF, ANNOY, AROMA, FLOOR, FLORA
O|RAYON|L,A,N,O,M,F,O,Y,R,N,A,O

# Puzzle 297: 14 words with 'C'
# Examples: CAPER, CEASE, CREEP, CREPE, FARCE
C|CREPE|A,F,W,R,W,E,S,C,G,C,E,P

# Puzzle 298: 6 words with 'M'
# Examples: EMAIL, FLAME, FLUME, HUMID, MEDAL
M|FLAME|A,U,U,U,M,I,E,L,D,F,F,H

# Puzzle 299: 30 words with 'E'
# Examples: AMBER, ANGER, ARGUE, AZURE, BARGE
E|AZURE|G,B,U,M,Z,A,C,N,R,H,E,R

# Puzzle 300: 12 words with 'O'
# Examples: ALLOY, FLORA, FOLLY, FORAY, HOLLY
O|ALLOY|F,A,O,R,H,L,S,L,R,F,H,Y

